Year,Season,Month,Sector,Crop_Type,Farm_Size_Ha,Area_Planted_Ha,Area_Planted_Are,Terrain_Type,Seed_Variety,Fertilizer_Used,Fertilizer_Type,Fertilizer_Amount_Kg_Are,Irrigation_Used,Previous_Crop,Pest_Disease_Pressure,Labor_Availability,Extension_Service_Access,Credit_Access,Market_Distance_km,Soil_Type,Soil_pH,Organic_Matter_Pct,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Avg_Temperature_Celsius,Total_Rainfall_mm,Relative_Humidity_Pct,Sunshine_Hours_per_Day,Wind_Speed_kmh,Evapotranspiration_mm,Yield_Kg_per_Area_Planted
2023,Season B,February,Ngeruka,Rice,0.59,0.42,42.0,Hillside,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),0.38,No,Rice,Low,Adequate,Yes,Yes,8.1,Loam,7.0,2.78,75.7,22.5,206.2,23.2,53.1,67.4,7.6,10.7,124.4,25.34
2024,Season B,May,Mwogo,Rice,2.55,1.65,165.0,Hillside,Hybrid (Komboka),No,None,0.0,Partial,Maize,Low,Sufficient,Yes,No,16.1,Sandy Soil,5.97,2.14,71.5,18.4,164.1,23.6,93.3,82.6,6.6,11.4,106.4,26.2
2021,Season B,March,Musenyi,Maize,2.09,1.43,143.0,Hillside,Local Variety,Partial,Organic (Compost),0.15,No,Beans,Medium,Limited,Yes,No,13.9,Loam,7.14,2.11,40.0,10.0,248.0,22.5,61.6,75.6,7.2,13.3,110.6,12.08
2020,Season B,April,Shyara,Maize,2.62,2.43,243.0,Flat,Local Variety,No,None,0.0,No,Cassava,Medium,Sufficient,Yes,No,7.0,Sandy Loam,6.16,2.42,51.0,23.7,256.2,23.4,115.6,78.0,6.9,10.6,98.9,14.31
2023,Season A,January,Mareba,Rice,1.86,1.75,175.0,Flat,Local Variety,No,None,0.0,No,Beans,Low,Adequate,No,Yes,11.5,Sandy Loam,7.16,2.98,60.4,13.5,238.2,21.9,60.7,71.6,8.1,11.2,112.7,17.63
2023,Season B,April,Rilima,Beans,0.63,0.39,39.0,Flat,Hybrid (MAC 44),Yes,Organic (Compost),0.0,Partial,Beans,High,Sufficient,No,Yes,9.0,Sandy Soil,6.0,1.69,36.7,11.9,204.1,21.7,90.5,77.1,7.0,11.2,113.6,9.32
2020,Season A,January,Ruhuha,Rice,1.89,1.56,156.0,Hillside,Local Variety,No,None,0.0,No,Rice,High,Adequate,No,Yes,13.6,Sandy Loam,7.06,2.55,62.8,17.2,184.0,22.2,47.7,74.2,7.6,10.1,99.1,13.35
2024,Season A,January,Nyamata,Maize,0.28,0.24,24.0,Valley,Improved (WH507),Yes,Inorganic (NPK),0.33,No,Maize,Low,Adequate,Yes,No,11.4,Clay Soil,7.24,3.46,79.9,23.0,254.4,22.0,57.2,74.2,8.3,12.1,122.5,14.63
2024,Season B,March,Gashora,Rice,0.95,0.83,83.0,Hillside,Improved (IR64 / NERICA),Partial,Organic (Compost),0.15,No,Beans,Low,Sufficient,Yes,Yes,14.6,Loam,6.44,1.73,51.2,24.7,194.8,22.0,61.8,71.1,7.0,10.2,107.7,27.25
2021,Season B,February,Mareba,Maize,1.78,1.08,108.0,Flat,Improved (WH507),Yes,Organic (Compost),0.0,Partial,Beans,Low,Adequate,Yes,No,18.3,Sandy Loam,7.07,2.73,58.8,16.0,237.1,21.8,89.7,73.3,7.6,10.6,114.6,20.9
2021,Season A,October,Ruhuha,Beans,2.08,1.43,143.0,Flat,Local Variety,No,None,0.0,Yes,Beans,High,Adequate,Yes,Yes,5.3,Sandy Loam,6.96,2.4,56.5,21.2,187.7,23.5,143.0,79.2,7.4,10.6,97.7,5.7
2022,Season A,December,Nyamata,Beans,2.96,2.4,240.0,Flat,Improved (RWR 2245),Partial,Organic (Compost),0.27,Yes,Cassava,Low,Sufficient,Yes,No,20.8,Clay Soil,7.17,3.21,80.3,19.4,255.3,21.8,113.5,83.7,7.1,10.8,122.6,14.49
2021,Season A,September,Ntarama,Beans,1.62,1.34,134.0,Flat,Improved (RWR 2245),Yes,Organic (Compost),0.0,Yes,Beans,Medium,Adequate,Yes,Yes,15.1,Sandy Soil,7.12,3.04,60.2,14.2,253.3,25.2,102.2,66.7,7.9,13.6,116.4,13.57
2021,Season A,September,Juru,Beans,1.56,1.02,102.0,Flat,Improved (RWR 2245),Yes,Organic (Compost),0.0,No,Beans,Medium,Adequate,No,Yes,22.2,Sandy Loam,6.86,2.6,53.8,24.5,174.5,23.8,68.5,76.2,7.7,11.2,123.6,13.05
2022,Season B,May,Musenyi,Rice,2.44,2.14,214.0,Valley,Local Variety,No,None,0.0,Partial,Rice,Low,Limited,No,Yes,7.1,Loam,6.93,2.41,39.4,14.5,270.1,24.4,98.0,69.9,6.4,10.1,116.5,14.99
2021,Season A,January,Rilima,Maize,0.69,0.68,68.0,Hillside,Improved (WH507),No,None,0.0,No,Rice,Medium,Adequate,Yes,No,11.4,Sandy Soil,6.3,2.16,41.2,15.6,214.3,24.5,71.0,68.3,6.7,13.2,98.3,17.83
2021,Season B,May,Kamabuye,Maize,2.44,1.78,178.0,Flat,Improved (WH507),No,None,0.0,No,Maize,High,Adequate,Yes,No,11.5,Clay Soil,7.13,2.55,39.6,20.9,216.0,21.6,73.5,77.8,6.6,8.6,118.9,13.12
2023,Season B,March,Ntarama,Maize,1.59,1.38,138.0,Flat,Improved (WH507),Yes,Inorganic (NPK),1.93,No,Rice,Low,Sufficient,Yes,No,16.0,Sandy Soil,7.05,2.89,59.9,10.9,234.1,22.0,94.4,84.5,7.5,11.1,99.8,19.43
2022,Season A,September,Mwogo,Beans,2.51,2.02,202.0,Valley,Hybrid (MAC 44),No,None,0.0,No,Maize,Medium,Limited,No,No,9.9,Sandy Soil,6.14,2.02,64.6,18.6,166.3,26.5,86.2,68.3,6.8,12.3,102.3,8.11
2020,Season A,December,Musenyi,Rice,0.68,0.54,54.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),2.09,No,Beans,Medium,Adequate,No,No,9.1,Loam,7.27,2.67,43.5,14.8,249.6,22.9,78.8,75.5,7.0,10.4,103.8,37.62
2020,Season A,November,Nyamata,Rice,1.13,0.71,71.0,Valley,Hybrid (Komboka),No,None,0.0,No,Beans,Medium,Adequate,No,Yes,6.8,Clay Soil,7.07,3.11,78.5,27.0,246.2,24.1,126.5,77.6,7.0,11.5,120.1,26.42
2024,Season A,January,Juru,Rice,2.02,1.27,127.0,Flat,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),2.47,No,Beans,Medium,Sufficient,Yes,No,10.3,Sandy Loam,6.81,2.53,49.9,21.5,182.4,25.6,56.0,66.0,7.8,9.8,99.5,35.16
2024,Season B,April,Nyamata,Rice,2.59,2.13,213.0,Valley,Improved (IR64 / NERICA),Partial,Organic (Compost),0.65,No,Beans,Low,Limited,Yes,No,13.3,Clay Soil,7.02,3.14,81.6,21.8,245.1,25.0,137.3,82.1,6.7,8.9,93.3,36.91
2020,Season B,May,Shyara,Maize,1.98,1.51,151.0,Flat,Improved (WH507),No,None,0.0,Yes,Maize,Medium,Adequate,No,No,22.3,Sandy Loam,6.14,2.23,57.1,22.0,263.9,22.3,47.9,74.3,7.0,11.2,104.9,13.3
2020,Season B,March,Nyarugenge,Beans,0.29,0.25,25.0,Flat,Improved (RWR 2245),Yes,Organic (Compost),0.0,No,Maize,Low,Limited,Yes,No,23.9,Clay Soil,6.27,2.26,43.1,23.3,190.1,24.2,127.6,73.5,6.5,12.5,102.3,12.93
2020,Season A,November,Ruhuha,Maize,0.5,0.37,37.0,Hillside,Improved (WH507),Partial,Organic (Compost),0.34,No,Fallow,Medium,Adequate,Yes,No,22.6,Sandy Loam,7.03,2.52,67.6,15.5,188.7,24.2,87.7,70.4,6.2,9.1,115.1,19.05
2021,Season B,April,Musenyi,Maize,0.66,0.46,46.0,Flat,Improved (WH507),No,None,0.0,No,Beans,Low,Adequate,No,Yes,18.6,Loam,7.07,2.66,44.5,13.2,255.0,23.4,106.0,76.6,6.3,10.8,105.4,18.08
2020,Season A,October,Rweru,Maize,1.94,1.46,146.0,Flat,Local Variety,Yes,Mixed (Organic + Inorganic),1.97,No,Rice,Medium,Limited,Yes,No,6.8,Clay Soil,7.08,2.72,67.8,12.0,188.4,23.4,79.7,74.6,7.2,8.8,103.0,15.03
2020,Season A,October,Rilima,Beans,2.65,1.67,167.0,Flat,Improved (RWR 2245),No,None,0.0,No,Rice,Medium,Limited,Yes,Yes,16.2,Sandy Soil,6.14,1.95,39.3,17.5,213.7,22.6,97.6,78.6,6.3,11.0,89.6,11.87
2023,Season B,March,Rweru,Beans,0.53,0.49,49.0,Hillside,Hybrid (MAC 44),No,None,0.0,No,Beans,Medium,Limited,Yes,No,5.6,Clay Soil,6.87,2.43,64.1,18.3,185.9,23.7,112.3,76.0,7.5,12.0,126.0,6.98
2022,Season B,June,Kamabuye,Maize,1.35,1.03,103.0,Valley,Improved (WH507),No,None,0.0,No,Rice,Low,Limited,No,No,5.3,Clay Soil,7.1,2.18,44.1,20.3,213.7,23.8,47.5,77.1,9.3,10.9,115.2,11.28
2022,Season A,October,Mareba,Maize,2.52,2.32,232.0,Flat,Improved (WH507),Partial,Inorganic (NPK),0.27,No,Maize,High,Limited,Yes,No,15.1,Sandy Loam,6.88,3.07,61.4,8.6,248.9,25.2,144.1,73.5,5.8,11.5,103.6,13.66
2020,Season B,February,Mareba,Maize,2.41,2.05,205.0,Flat,Local Variety,No,None,0.0,No,Beans,Low,Limited,Yes,No,15.1,Sandy Loam,6.99,3.12,61.2,13.1,229.6,22.5,84.4,75.8,8.8,10.7,110.1,13.48
2021,Season A,December,Mayange,Rice,0.65,0.48,48.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),1.04,Yes,Rice,Low,Adequate,No,Yes,23.0,Sandy Loam,6.05,2.61,64.6,12.9,198.2,23.8,97.7,71.6,7.0,11.5,112.6,39.52
2022,Season B,May,Mwogo,Maize,1.86,1.85,185.0,Hillside,Local Variety,No,None,0.0,Yes,Rice,Low,Sufficient,No,Yes,16.3,Sandy Soil,6.02,2.32,70.6,18.5,174.3,22.1,60.8,81.3,7.0,12.8,89.3,14.61
2023,Season A,October,Mareba,Rice,0.49,0.48,48.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),2.06,No,Rice,Low,Adequate,Yes,No,7.0,Sandy Loam,7.26,3.06,64.3,10.3,238.9,25.0,113.5,75.6,6.5,10.7,86.8,36.53
2024,Season B,March,Ruhuha,Rice,1.78,1.54,154.0,Flat,Local Variety,No,None,0.0,No,Rice,Low,Adequate,Yes,Yes,8.8,Sandy Loam,7.0,2.66,60.0,17.2,183.1,23.9,86.3,71.9,7.0,10.7,113.3,17.75
2023,Season B,April,Ruhuha,Beans,0.69,0.53,53.0,Hillside,Improved (RWR 2245),No,None,0.0,Yes,Beans,Low,Adequate,Yes,No,18.8,Sandy Loam,7.1,2.39,59.7,16.2,184.1,22.8,76.5,83.1,6.8,10.2,114.2,12.8
2021,Season A,September,Ruhuha,Beans,1.43,0.94,94.0,Flat,Improved (RWR 2245),Yes,Inorganic (NPK),1.24,No,Rice,High,Limited,No,No,19.9,Sandy Loam,7.08,2.32,61.4,16.9,195.2,23.7,88.1,77.1,7.5,12.7,104.3,12.69
2024,Season A,January,Mareba,Maize,2.8,2.19,219.0,Flat,Local Variety,Partial,Inorganic (NPK),0.35,No,Rice,Low,Adequate,No,Yes,9.0,Sandy Loam,7.0,2.96,66.5,12.5,244.8,21.9,76.4,70.1,8.1,11.8,111.9,13.27
2024,Season A,November,Kamabuye,Rice,1.27,1.16,116.0,Flat,Local Variety,Yes,Organic (Compost),0.0,No,Beans,Medium,Limited,Yes,No,17.3,Clay Soil,7.05,2.43,46.7,20.1,204.2,21.1,62.1,77.5,7.7,12.5,105.5,16.59
2024,Season A,December,Juru,Maize,1.0,0.62,62.0,Flat,Improved (WH507),No,None,0.0,Yes,Beans,Medium,Limited,Yes,No,11.8,Sandy Loam,6.79,2.51,41.8,27.7,180.6,23.7,64.4,79.1,6.7,12.8,100.4,17.3
2024,Season B,May,Shyara,Beans,2.11,1.43,143.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Fallow,Medium,Adequate,No,Yes,15.4,Sandy Loam,6.1,2.43,51.9,20.1,270.9,22.5,107.9,79.2,7.3,10.4,109.1,8.78
2024,Season B,February,Kamabuye,Beans,0.36,0.31,31.0,Hillside,Improved (RWR 2245),Yes,Inorganic (NPK),0.62,No,Beans,Medium,Adequate,Yes,No,7.8,Clay Soil,7.2,2.34,42.2,18.8,207.1,23.2,100.5,71.0,8.2,12.1,115.0,13.49
2021,Season A,November,Rweru,Rice,2.44,2.01,201.0,Flat,Improved (IR64 / NERICA),Partial,Organic (Compost),0.71,No,Beans,Medium,Adequate,Yes,No,11.9,Clay Soil,6.88,2.89,64.4,8.0,205.9,22.5,84.9,70.7,7.7,11.7,113.8,32.96
2022,Season A,December,Kamabuye,Rice,0.54,0.52,52.0,Flat,Improved (IR64 / NERICA),Partial,Organic (Compost),0.16,Yes,Beans,Medium,Adequate,Yes,Yes,20.5,Clay Soil,7.13,2.3,40.3,17.1,201.5,22.2,51.0,76.0,7.8,13.1,104.6,29.53
2023,Season A,January,Ruhuha,Maize,0.92,0.62,62.0,Hillside,Local Variety,No,None,0.0,No,Maize,Medium,Adequate,No,No,13.6,Sandy Loam,7.09,2.46,64.6,17.5,181.1,22.2,79.2,70.0,7.9,11.2,118.6,11.14
2021,Season B,April,Juru,Rice,2.36,2.07,207.0,Flat,Improved (IR64 / NERICA),No,None,0.0,No,Rice,Medium,Sufficient,Yes,Yes,13.3,Sandy Loam,6.79,2.3,49.1,25.3,162.5,22.9,79.8,72.1,7.2,8.6,118.3,27.31
2024,Season A,November,Rweru,Beans,0.6,0.54,54.0,Hillside,Local Variety,No,None,0.0,No,Rice,High,Limited,No,No,7.2,Clay Soil,6.89,2.62,69.7,14.2,170.6,24.0,129.0,80.1,6.2,8.9,99.0,5.19
2020,Season A,September,Shyara,Maize,2.2,1.73,173.0,Valley,Hybrid (H614D),Yes,Mixed (Organic + Inorganic),1.64,Yes,Cassava,Low,Limited,Yes,Yes,21.0,Sandy Loam,6.15,2.26,58.8,18.4,286.9,23.9,78.9,83.2,7.5,10.9,128.1,27.28
2020,Season B,March,Musenyi,Maize,2.87,2.12,212.0,Valley,Improved (WH507),Partial,Organic (Compost),0.21,No,Beans,Low,Sufficient,Yes,No,8.1,Loam,6.98,2.49,43.0,13.8,245.7,23.3,117.0,80.6,7.4,10.0,113.2,18.66
2023,Season A,November,Nyamata,Beans,1.3,0.82,82.0,Hillside,Hybrid (MAC 44),Yes,Organic (Compost),0.0,No,Rice,Low,Adequate,No,No,22.0,Clay Soil,7.08,3.33,76.9,24.2,254.7,23.8,139.8,72.4,7.6,10.1,102.7,10.9
2024,Season A,September,Nyarugenge,Maize,1.94,1.39,139.0,Hillside,Improved (WH507),Yes,Mixed (Organic + Inorganic),1.17,Yes,Fallow,Low,Adequate,Yes,Yes,10.9,Clay Soil,6.21,2.24,42.3,21.0,198.2,23.4,50.2,70.1,7.5,11.4,98.9,21.29
2021,Season A,December,Mayange,Rice,0.16,0.1,10.0,Valley,Hybrid (Komboka),No,None,0.0,Yes,Rice,High,Sufficient,Yes,No,13.4,Sandy Loam,5.95,3.03,60.5,12.8,214.6,22.9,90.3,70.6,7.9,11.3,125.0,23.49
2024,Season B,May,Nyamata,Beans,1.07,0.93,93.0,Flat,Improved (RWR 2245),No,None,0.0,Yes,Rice,Low,Sufficient,No,No,19.5,Clay Soil,7.05,3.16,74.7,24.0,250.4,22.9,90.8,78.2,7.1,11.4,94.2,12.51
2020,Season B,April,Gashora,Beans,1.26,0.84,84.0,Flat,Hybrid (MAC 44),Partial,Organic (Compost),0.77,No,Beans,Low,Sufficient,Yes,No,24.5,Loam,6.34,1.81,51.7,26.9,208.5,22.6,135.6,86.0,7.1,11.1,99.1,9.2
2023,Season A,September,Ruhuha,Rice,1.38,0.84,84.0,Flat,Improved (IR64 / NERICA),No,None,0.0,No,Cassava,Low,Adequate,No,No,22.0,Sandy Loam,6.98,2.49,60.9,17.1,177.2,22.8,71.2,68.7,7.8,11.3,114.4,28.31
2021,Season A,September,Rilima,Rice,0.61,0.53,53.0,Hillside,Improved (IR64 / NERICA),No,None,0.0,Yes,Maize,Medium,Adequate,Yes,No,17.2,Sandy Soil,6.06,1.64,45.3,14.4,209.7,23.9,95.6,77.7,8.1,11.7,108.7,35.44
2021,Season B,February,Nyamata,Maize,1.08,0.79,79.0,Valley,Improved (WH507),No,None,0.0,Partial,Rice,Medium,Adequate,Yes,No,22.1,Clay Soil,7.07,3.06,84.7,24.3,259.7,24.6,49.6,75.1,7.7,12.2,116.3,13.85
2020,Season A,January,Mareba,Beans,1.89,1.43,143.0,Hillside,Improved (RWR 2245),Partial,Inorganic (NPK),0.6,Yes,Beans,High,Adequate,Yes,No,11.8,Sandy Loam,7.19,3.01,58.9,14.6,238.5,23.2,57.0,67.5,8.0,10.5,100.7,10.52
2024,Season A,September,Juru,Rice,1.49,1.08,108.0,Valley,Local Variety,Yes,Organic (Compost),0.0,No,Rice,Low,Adequate,No,No,24.3,Sandy Loam,6.9,2.54,43.4,25.9,185.3,25.0,66.7,75.3,6.5,11.1,98.2,17.42
2021,Season A,September,Nyarugenge,Rice,1.24,0.78,78.0,Valley,Local Variety,No,None,0.0,Yes,Beans,Low,Adequate,Yes,No,11.2,Clay Soil,6.1,2.11,42.1,20.7,199.9,23.3,71.3,82.4,7.4,10.9,107.6,19.85
2022,Season A,September,Nyamata,Beans,1.75,1.31,131.0,Valley,Local Variety,Yes,Mixed (Organic + Inorganic),0.87,No,Beans,High,Limited,Yes,Yes,22.5,Clay Soil,7.1,3.01,78.2,21.6,244.3,22.2,56.6,70.3,7.0,10.9,130.0,6.17
2023,Season A,September,Rilima,Beans,0.72,0.72,72.0,Flat,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),1.07,No,Beans,High,Adequate,Yes,Yes,15.4,Sandy Soil,6.08,1.68,45.2,15.5,206.4,21.9,105.3,76.6,8.2,11.4,114.1,12.69
2023,Season A,September,Musenyi,Beans,0.2,0.16,16.0,Hillside,Hybrid (MAC 44),Partial,Inorganic (NPK),0.24,No,Cassava,Low,Sufficient,Yes,No,22.3,Loam,7.18,2.21,40.8,14.3,255.2,22.2,79.9,81.9,7.2,11.8,106.9,10.94
2023,Season A,November,Gashora,Maize,0.86,0.81,81.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,No,Maize,Low,Adequate,Yes,No,16.7,Loam,6.53,2.15,46.0,24.5,193.1,24.1,90.5,66.9,6.8,11.4,94.4,15.65
2020,Season B,May,Musenyi,Beans,1.25,1.06,106.0,Hillside,Improved (RWR 2245),Partial,Inorganic (NPK),0.74,No,Maize,Medium,Adequate,Yes,No,16.2,Loam,7.12,2.49,38.9,15.2,273.4,22.8,66.4,82.7,6.7,9.0,97.7,13.31
2021,Season A,December,Shyara,Rice,2.83,1.72,172.0,Valley,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),1.0,Partial,Beans,Low,Adequate,No,Yes,24.8,Sandy Loam,6.12,2.16,54.8,17.3,269.2,22.1,70.1,70.0,7.1,11.9,123.7,27.57
2023,Season A,October,Kamabuye,Beans,2.16,1.81,181.0,Flat,Local Variety,No,None,0.0,No,Beans,Low,Adequate,No,No,9.3,Clay Soil,7.21,2.43,38.3,18.9,194.4,24.0,85.2,81.8,6.2,9.9,105.0,5.93
2020,Season B,June,Shyara,Maize,1.45,1.39,139.0,Flat,Local Variety,No,None,0.0,No,Beans,Low,Adequate,No,Yes,16.3,Sandy Loam,6.11,2.46,60.7,18.1,275.2,24.0,32.3,61.8,8.0,13.3,100.3,10.56
2020,Season A,September,Nyamata,Rice,2.9,2.6,260.0,Flat,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,No,Cassava,Low,Sufficient,Yes,No,12.0,Clay Soil,7.11,3.46,78.5,25.6,248.8,24.9,106.5,79.6,7.0,14.0,100.9,40.92
2024,Season A,December,Kamabuye,Maize,0.72,0.43,43.0,Flat,Local Variety,No,None,0.0,Yes,Cassava,Medium,Limited,No,No,6.7,Clay Soil,7.0,2.04,44.7,17.6,204.8,21.5,104.5,80.4,8.0,10.9,96.9,11.37
2022,Season B,March,Gashora,Beans,2.8,2.15,215.0,Flat,Hybrid (MAC 44),No,None,0.0,Yes,Beans,High,Adequate,Yes,No,21.4,Loam,6.6,2.22,49.3,26.9,191.4,24.7,61.9,76.7,7.0,12.6,112.2,7.55
2024,Season A,November,Nyarugenge,Maize,2.4,1.92,192.0,Flat,Improved (WH507),Yes,Organic (Compost),0.0,Partial,Beans,Medium,Adequate,No,No,23.3,Clay Soil,6.22,2.01,40.5,22.8,187.9,23.3,140.1,81.7,6.6,9.1,116.1,21.47
2023,Season A,November,Ntarama,Beans,1.77,1.66,166.0,Valley,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),0.9,Yes,Rice,Low,Adequate,Yes,No,11.4,Sandy Soil,7.08,2.84,59.2,11.9,243.6,25.0,82.2,73.1,6.8,11.4,96.3,16.75
2024,Season B,April,Musenyi,Maize,1.91,1.15,115.0,Valley,Hybrid (H614D),Yes,Mixed (Organic + Inorganic),0.4,Partial,Beans,Medium,Adequate,Yes,No,24.1,Loam,7.12,2.28,38.6,13.0,269.0,23.6,128.4,71.5,7.2,10.5,102.1,27.33
2020,Season B,June,Nyarugenge,Maize,1.31,1.1,110.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,No,Beans,Medium,Sufficient,No,Yes,14.6,Clay Soil,6.09,1.94,43.3,17.5,193.4,21.2,26.6,76.5,8.2,12.7,124.1,10.92
2022,Season B,April,Gashora,Maize,0.73,0.54,54.0,Hillside,Improved (WH507),Partial,Inorganic (NPK),0.65,Partial,Beans,Medium,Sufficient,No,No,12.4,Loam,6.61,2.21,50.9,22.7,215.3,24.8,71.3,78.6,7.1,11.9,107.5,17.44
2024,Season A,December,Rilima,Maize,0.41,0.37,37.0,Flat,Improved (WH507),Yes,Inorganic (NPK),0.65,Yes,Beans,Medium,Limited,No,No,7.2,Sandy Soil,6.22,1.87,44.6,17.1,211.0,20.3,70.7,68.6,7.1,14.3,104.3,18.41
2024,Season A,September,Ntarama,Beans,0.68,0.62,62.0,Flat,Local Variety,Yes,Inorganic (NPK),1.13,No,Maize,High,Adequate,Yes,No,15.8,Sandy Soil,7.15,2.73,64.8,12.8,252.4,25.2,85.5,69.6,6.8,10.5,110.4,6.21
2020,Season B,February,Ruhuha,Maize,0.55,0.44,44.0,Flat,Improved (WH507),No,None,0.0,No,Maize,High,Adequate,Yes,Yes,11.8,Sandy Loam,7.39,2.19,67.2,17.4,188.3,23.9,72.6,76.8,7.7,11.5,95.2,11.9
2021,Season A,November,Ntarama,Maize,1.92,1.5,150.0,Hillside,Improved (WH507),No,None,0.0,Yes,Beans,Low,Adequate,Yes,Yes,21.7,Sandy Soil,7.21,2.9,68.4,13.0,241.0,25.5,66.4,78.5,6.6,6.7,107.3,17.7
2023,Season A,September,Ngeruka,Beans,0.68,0.44,44.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Beans,Medium,Adequate,Yes,No,8.1,Loam,7.0,2.95,74.2,18.5,195.8,23.3,75.6,77.2,7.5,10.9,107.5,8.95
2022,Season A,December,Nyamata,Beans,1.7,1.53,153.0,Hillside,Hybrid (MAC 44),Yes,Inorganic (NPK),0.36,No,Beans,Low,Sufficient,No,No,5.3,Clay Soil,7.04,3.31,76.5,28.3,248.2,20.5,118.4,75.0,7.4,10.2,124.4,9.58
2021,Season A,January,Musenyi,Rice,1.96,1.87,187.0,Flat,Local Variety,Yes,Organic (Compost),0.0,No,Maize,High,Adequate,No,No,6.3,Loam,7.28,2.5,41.8,11.3,246.5,22.7,67.1,68.6,7.8,8.6,122.3,15.36
2024,Season B,February,Gashora,Rice,0.89,0.82,82.0,Flat,Hybrid (Komboka),Partial,Inorganic (NPK),0.23,No,Cassava,Medium,Limited,No,No,14.6,Loam,6.79,1.94,43.6,22.8,194.2,25.4,56.8,72.4,7.2,11.4,116.5,19.1
2022,Season B,March,Nyarugenge,Rice,2.94,1.9,190.0,Flat,Improved (IR64 / NERICA),Partial,Inorganic (NPK),0.13,No,Beans,Low,Sufficient,Yes,No,6.7,Clay Soil,6.28,2.29,38.2,20.9,189.6,23.8,132.4,73.0,7.0,11.9,96.1,37.7
2024,Season B,June,Mwogo,Maize,2.1,1.85,185.0,Flat,Improved (WH507),Yes,Mixed (Organic + Inorganic),1.62,Yes,Rice,Medium,Sufficient,No,Yes,5.4,Sandy Soil,6.05,1.62,67.1,21.5,153.8,22.7,42.8,75.8,8.6,12.5,132.0,19.67
2021,Season A,December,Mareba,Beans,0.84,0.77,77.0,Valley,Improved (RWR 2245),No,None,0.0,No,Cassava,High,Sufficient,No,No,22.3,Sandy Loam,7.05,2.68,60.0,13.5,228.5,21.9,115.7,63.4,6.8,13.4,118.0,11.66
2022,Season B,March,Nyamata,Maize,0.16,0.11,11.0,Valley,Local Variety,No,None,0.0,No,Beans,High,Sufficient,Yes,Yes,19.8,Clay Soil,7.14,3.28,72.2,25.3,254.4,22.9,70.3,77.6,6.8,11.8,109.3,10.3
2020,Season A,January,Mwogo,Beans,0.38,0.35,35.0,Valley,Local Variety,Yes,Organic (Compost),0.0,Partial,Maize,High,Adequate,Yes,No,12.8,Sandy Soil,6.04,1.84,64.6,17.9,154.6,21.5,75.4,74.1,7.9,10.8,102.3,7.05
2023,Season B,April,Ruhuha,Rice,1.63,1.52,152.0,Flat,Improved (IR64 / NERICA),No,None,0.0,No,Beans,Medium,Limited,Yes,Yes,13.6,Sandy Loam,6.89,2.56,66.5,17.1,194.6,26.0,73.5,80.7,5.9,11.1,101.2,22.56
2020,Season A,December,Ntarama,Rice,1.19,1.14,114.0,Flat,Hybrid (Komboka),No,None,0.0,Yes,Fallow,High,Sufficient,No,Yes,13.5,Sandy Soil,6.92,2.83,65.4,9.6,240.6,22.1,79.9,74.9,7.4,7.9,114.5,19.86
2024,Season B,February,Rweru,Rice,0.34,0.22,22.0,Valley,Hybrid (Komboka),No,None,0.0,No,Maize,Low,Adequate,Yes,Yes,15.6,Clay Soil,6.88,2.7,65.2,9.1,181.8,24.1,46.0,73.7,7.7,10.9,105.2,21.05
2023,Season A,November,Ngeruka,Maize,1.16,0.8,80.0,Hillside,Local Variety,Partial,Inorganic (NPK),0.29,Yes,Maize,High,Limited,No,No,14.6,Loam,6.96,2.56,74.9,20.9,189.4,23.4,136.0,79.2,6.6,11.8,105.1,11.28
2021,Season B,June,Gashora,Rice,0.71,0.57,57.0,Valley,Local Variety,Yes,Inorganic (NPK),2.39,No,Cassava,High,Limited,Yes,Yes,13.6,Loam,6.51,2.13,47.9,20.7,195.5,23.4,28.1,67.9,9.1,10.2,112.2,12.31
2020,Season A,January,Shyara,Beans,1.09,1.05,105.0,Flat,Improved (RWR 2245),No,None,0.0,Yes,Rice,Low,Adequate,Yes,No,16.6,Sandy Loam,6.22,2.18,53.8,19.3,263.4,21.8,73.9,68.3,8.2,10.9,97.5,14.12
2024,Season B,June,Ruhuha,Beans,0.97,0.88,88.0,Flat,Local Variety,No,None,0.0,Partial,Beans,High,Limited,No,Yes,15.2,Sandy Loam,7.0,2.34,62.2,14.3,176.2,22.6,36.6,69.3,8.0,13.7,107.7,3.93
2021,Season B,March,Nyamata,Maize,2.06,1.86,186.0,Flat,Hybrid (H614D),No,None,0.0,No,Maize,Low,Limited,No,No,21.5,Clay Soil,7.04,3.57,73.7,27.9,247.9,23.2,119.0,82.1,8.0,13.0,121.9,21.61
