Year,Season,Month,Sector,Crop_Type,Farm_Size_Ha,Area_Planted_Ha,Area_Planted_Are,Terrain_Type,Seed_Variety,Fertilizer_Used,Fertilizer_Type,Fertilizer_Amount_Kg_Ha,Irrigation_Used,Previous_Crop,Pest_Disease_Pressure,Labor_Availability,Extension_Service_Access,Credit_Access,Market_Distance_km,Soil_Type,Soil_pH,Organic_Matter_Pct,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Avg_Temperature_Celsius,Total_Rainfall_mm,Relative_Humidity_Pct,Sunshine_Hours_per_Day,Wind_Speed_kmh,Evapotranspiration_mm,Yield_Kg_per_Area_Planted
2021,Season A,September,Mwogo,Maize,2.05,1.59,159.0,Hillside,Improved (WH507),No,None,0.0,No,Cassava,Medium,Adequate,No,No,16.4,Sandy Soil,6.1,1.96,69.0,23.9,167.5,24.9,60.3,79.9,6.9,13.2,119.2,15.9
2022,Season A,December,Ruhuha,Rice,0.79,0.76,76.0,Valley,Improved (IR64 / NERICA),No,None,0.0,Partial,Maize,High,Adequate,Yes,No,13.2,Sandy Loam,6.78,2.48,59.0,20.8,192.7,21.5,90.1,70.3,7.0,10.3,118.9,26.11
2020,Season A,January,Kamabuye,Maize,2.16,1.39,139.0,Hillside,Improved (WH507),No,None,0.0,Partial,Fallow,Medium,Adequate,Yes,No,5.9,Clay Soil,7.02,2.22,45.1,19.8,207.3,24.6,90.4,77.3,8.5,10.3,122.3,17.2
2021,Season A,December,Shyara,Rice,1.46,1.28,128.0,Valley,Improved (IR64 / NERICA),Partial,Inorganic (NPK),53.6,No,Fallow,Medium,Adequate,Yes,No,6.7,Sandy Loam,6.17,2.33,52.9,16.4,267.2,23.9,104.9,74.1,6.7,11.5,106.5,36.7
2021,Season B,February,Kamabuye,Rice,1.72,1.3,130.0,Valley,Local Variety,Yes,Mixed (Organic + Inorganic),99.5,No,Beans,Medium,Sufficient,Yes,Yes,23.4,Clay Soil,7.13,2.49,47.3,19.9,214.3,21.1,94.4,58.2,9.0,10.7,115.1,19.44
2020,Season A,November,Kamabuye,Beans,1.42,1.09,109.0,Valley,Improved (RWR 2245),Partial,Inorganic (NPK),45.7,No,Cassava,Medium,Sufficient,Yes,No,10.5,Clay Soil,7.19,2.21,43.0,19.5,208.9,23.3,89.7,78.0,7.1,10.4,106.9,14.32
2020,Season B,February,Mayange,Rice,1.5,1.19,119.0,Valley,Local Variety,Partial,Organic (Compost),67.7,Partial,Beans,High,Sufficient,Yes,No,5.4,Sandy Loam,6.02,2.61,64.8,8.8,220.6,22.1,44.8,68.4,7.6,10.5,104.2,16.4
2022,Season B,March,Rilima,Beans,1.67,1.58,158.0,Hillside,Local Variety,Partial,Inorganic (NPK),63.0,No,Rice,Low,Sufficient,Yes,Yes,18.9,Sandy Soil,6.12,1.86,43.6,14.6,210.5,22.6,77.4,74.7,7.5,12.1,108.7,7.85
2022,Season B,March,Ntarama,Rice,0.34,0.34,34.0,Valley,Hybrid (Komboka),Partial,Inorganic (NPK),78.5,Partial,Fallow,Low,Adequate,No,No,7.3,Sandy Soil,7.11,3.04,59.6,9.4,244.0,24.4,101.8,77.2,7.6,10.5,97.7,23.64
2022,Season B,March,Rilima,Rice,0.52,0.5,50.0,Valley,Improved (IR64 / NERICA),No,None,0.0,No,Maize,Medium,Adequate,No,Yes,6.1,Sandy Soil,6.12,2.0,38.4,15.7,215.3,20.6,88.0,75.5,7.0,11.7,103.2,28.06
2021,Season B,March,Gashora,Rice,2.97,2.59,259.0,Valley,Local Variety,No,None,0.0,Yes,Beans,Low,Sufficient,No,No,17.6,Loam,6.36,2.01,50.3,24.5,193.6,22.1,127.5,73.4,7.1,11.1,100.8,20.64
2023,Season B,March,Nyarugenge,Maize,0.6,0.42,42.0,Valley,Improved (WH507),Yes,Organic (Compost),0.0,No,Beans,High,Sufficient,Yes,No,15.3,Clay Soil,6.33,2.19,32.8,22.0,193.0,24.2,116.2,87.1,7.4,10.4,95.3,19.49
2020,Season A,September,Gashora,Rice,1.83,1.53,153.0,Valley,Local Variety,Yes,Inorganic (NPK),59.7,No,Maize,Medium,Sufficient,Yes,Yes,15.1,Loam,6.62,1.96,46.9,26.4,191.6,22.7,65.8,75.9,7.2,10.8,123.1,18.77
2023,Season B,June,Rweru,Rice,2.51,1.77,177.0,Hillside,Hybrid (Komboka),No,None,0.0,No,Beans,Medium,Sufficient,Yes,Yes,21.6,Clay Soil,6.97,2.3,65.8,12.2,189.2,20.9,23.0,66.8,8.0,12.2,126.1,16.96
2022,Season A,September,Rweru,Rice,1.55,1.48,148.0,Flat,Hybrid (Komboka),No,None,0.0,Partial,Beans,Low,Adequate,No,No,21.6,Clay Soil,7.06,2.55,67.6,12.4,190.5,22.0,81.6,78.0,7.5,10.9,110.2,22.77
2024,Season B,February,Rilima,Beans,0.32,0.27,27.0,Valley,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),77.8,Partial,Beans,Medium,Adequate,Yes,No,8.9,Sandy Soil,6.14,1.74,40.0,15.1,216.7,22.0,90.9,73.2,7.9,8.8,107.5,14.63
2021,Season A,November,Gashora,Beans,0.98,0.78,78.0,Valley,Improved (RWR 2245),No,None,0.0,No,Beans,Low,Adequate,Yes,No,21.9,Loam,6.61,2.4,46.4,23.7,193.7,22.7,112.2,79.5,6.8,10.1,94.9,12.2
2022,Season A,September,Shyara,Maize,1.49,1.41,141.0,Flat,Local Variety,No,None,0.0,Partial,Maize,Medium,Adequate,Yes,Yes,6.0,Sandy Loam,6.24,2.38,56.6,22.1,267.0,22.8,106.0,78.4,7.6,10.5,114.4,14.15
2021,Season A,November,Shyara,Rice,2.23,1.71,171.0,Valley,Hybrid (Komboka),No,None,0.0,No,Beans,Low,Adequate,No,Yes,15.9,Sandy Loam,6.12,2.38,52.5,19.1,254.6,23.3,83.6,82.7,6.4,12.1,94.2,26.52
2023,Season A,January,Musenyi,Rice,2.28,1.63,163.0,Hillside,Hybrid (Komboka),No,None,0.0,Yes,Maize,Low,Adequate,Yes,No,5.5,Loam,7.13,2.36,39.5,11.6,257.5,22.9,44.2,65.9,7.3,12.1,93.4,23.61
2020,Season B,May,Kamabuye,Maize,1.51,1.12,112.0,Flat,Improved (WH507),No,None,0.0,Yes,Beans,High,Adequate,No,No,11.4,Clay Soil,7.2,2.21,36.4,14.6,221.7,22.6,85.0,75.1,7.1,9.3,106.8,15.58
2021,Season B,February,Mwogo,Rice,0.65,0.52,52.0,Flat,Improved (IR64 / NERICA),Partial,Inorganic (NPK),17.6,No,Rice,Low,Adequate,Yes,No,16.9,Sandy Soil,5.82,1.89,67.0,18.0,167.2,20.1,98.8,62.7,7.1,11.5,108.3,31.43
2022,Season A,December,Ngeruka,Beans,0.27,0.16,16.0,Flat,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),42.7,No,Beans,Medium,Limited,Yes,No,15.6,Loam,7.05,2.5,71.0,24.1,200.6,20.8,103.6,82.3,7.4,13.9,122.5,9.2
2024,Season A,January,Ngeruka,Beans,0.72,0.46,46.0,Hillside,Local Variety,No,None,0.0,No,Fallow,Medium,Limited,Yes,No,17.8,Loam,6.98,2.71,76.4,21.7,198.6,23.1,85.8,76.8,8.0,13.0,123.6,5.86
2020,Season A,September,Ntarama,Rice,0.62,0.46,46.0,Valley,Improved (IR64 / NERICA),No,None,0.0,No,Beans,Medium,Adequate,No,No,6.7,Sandy Soil,6.92,3.05,60.1,12.1,239.5,22.2,47.4,70.1,8.2,11.2,99.4,25.78
2021,Season B,March,Ruhuha,Beans,0.36,0.36,36.0,Flat,Improved (RWR 2245),Partial,Inorganic (NPK),76.0,Yes,Beans,Low,Sufficient,Yes,Yes,11.0,Sandy Loam,6.91,2.49,56.8,14.7,180.8,23.8,96.1,73.4,7.1,11.8,114.6,13.16
2021,Season B,April,Kamabuye,Rice,2.89,2.16,216.0,Flat,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),154.1,No,Beans,Medium,Adequate,No,Yes,10.2,Clay Soil,7.14,2.12,38.8,19.0,228.5,23.9,106.5,78.2,7.7,8.6,119.7,27.99
2023,Season B,March,Ruhuha,Beans,0.18,0.18,18.0,Flat,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),104.4,Partial,Maize,Low,Adequate,Yes,No,8.1,Sandy Loam,7.08,2.6,58.1,20.9,174.6,20.6,59.5,77.7,7.8,10.7,128.2,13.3
2020,Season A,January,Kamabuye,Maize,1.6,1.19,119.0,Flat,Hybrid (H614D),Yes,Mixed (Organic + Inorganic),140.1,No,Maize,Medium,Adequate,Yes,Yes,14.1,Clay Soil,7.09,2.38,39.1,19.6,205.1,22.8,64.5,73.5,7.9,10.9,107.9,26.04
2024,Season A,October,Musenyi,Rice,0.63,0.52,52.0,Valley,Local Variety,Yes,Mixed (Organic + Inorganic),48.7,No,Rice,Low,Sufficient,Yes,No,14.8,Loam,7.09,2.72,40.4,11.4,261.1,24.0,83.7,74.9,7.2,11.2,110.0,22.61
2021,Season A,September,Mwogo,Rice,2.73,2.6,260.0,Flat,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),32.5,No,Maize,High,Sufficient,Yes,Yes,9.7,Sandy Soil,6.19,1.68,68.1,18.8,170.7,25.7,88.8,71.6,7.7,9.5,108.0,26.81
2023,Season A,January,Ruhuha,Beans,2.39,2.34,234.0,Flat,Improved (RWR 2245),Yes,Mixed (Organic + Inorganic),111.5,No,Maize,Medium,Adequate,Yes,No,9.5,Sandy Loam,6.94,2.57,66.9,15.8,189.8,22.3,76.8,69.7,6.8,9.0,113.5,14.56
2022,Season B,May,Mwogo,Beans,0.64,0.41,41.0,Valley,Hybrid (MAC 44),Partial,Organic (Compost),77.1,Partial,Rice,Medium,Adequate,No,No,7.5,Sandy Soil,6.04,1.96,69.7,20.7,176.0,23.9,78.5,76.3,6.8,11.7,111.2,9.84
2023,Season A,December,Mayange,Maize,2.12,1.53,153.0,Hillside,Local Variety,Yes,Organic (Compost),0.0,Yes,Beans,Medium,Adequate,Yes,Yes,20.2,Sandy Loam,5.93,3.03,67.4,9.7,213.1,23.0,118.3,70.4,8.0,10.6,97.1,19.7
2020,Season A,September,Musenyi,Rice,1.55,1.24,124.0,Valley,Hybrid (Komboka),Yes,Mixed (Organic + Inorganic),245.7,No,Maize,Low,Adequate,Yes,No,5.4,Loam,7.25,2.12,38.7,14.1,258.3,23.3,55.6,70.6,7.4,11.7,110.8,24.6
2024,Season B,June,Mwogo,Rice,2.71,2.15,215.0,Flat,Improved (IR64 / NERICA),No,None,0.0,Partial,Maize,High,Adequate,Yes,Yes,11.4,Sandy Soil,6.05,2.1,71.6,20.0,157.5,22.5,32.2,68.5,7.8,13.6,132.6,23.77
2024,Season B,March,Juru,Maize,2.22,1.48,148.0,Flat,Improved (WH507),Yes,Organic (Compost),0.0,No,Beans,High,Adequate,No,No,9.2,Sandy Loam,7.0,2.71,53.2,23.1,165.7,23.4,89.6,80.5,6.8,11.5,106.5,19.09
2020,Season A,October,Musenyi,Beans,1.42,1.27,127.0,Valley,Hybrid (MAC 44),Yes,Organic (Compost),0.0,No,Fallow,High,Adequate,No,Yes,19.7,Loam,7.17,2.24,41.8,15.8,243.2,22.9,130.1,66.5,6.5,10.0,115.4,8.9
2022,Season A,November,Rweru,Maize,0.38,0.29,29.0,Hillside,Local Variety,Yes,Inorganic (NPK),94.2,No,Rice,Medium,Sufficient,No,No,7.5,Clay Soil,6.96,2.72,57.8,10.0,195.8,24.1,125.9,78.4,7.9,11.6,118.6,15.06
2024,Season A,November,Ngeruka,Maize,0.76,0.46,46.0,Flat,Hybrid (H614D),No,None,0.0,No,Beans,High,Adequate,Yes,No,13.6,Loam,7.03,2.72,72.7,16.7,199.8,22.5,94.0,77.5,7.1,10.7,102.3,21.62
2021,Season A,December,Ruhuha,Maize,1.42,0.96,96.0,Valley,Improved (WH507),Yes,Organic (Compost),0.0,Partial,Maize,Low,Limited,No,No,8.4,Sandy Loam,7.09,2.61,64.3,15.7,184.1,20.7,106.9,64.9,7.5,11.8,105.2,16.28
2020,Season B,June,Nyamata,Rice,1.71,1.09,109.0,Hillside,Local Variety,No,None,0.0,No,Maize,Low,Adequate,Yes,Yes,24.8,Clay Soil,7.1,3.2,73.8,26.2,258.8,23.8,41.3,67.3,7.7,11.4,133.2,14.83
2022,Season A,December,Rweru,Rice,2.03,1.44,144.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),113.1,No,Maize,Medium,Adequate,No,No,15.5,Clay Soil,7.13,2.52,63.0,15.9,199.8,22.1,68.2,78.2,7.1,11.5,110.0,27.14
2020,Season A,September,Mayange,Maize,3.0,2.55,255.0,Flat,Hybrid (H614D),Yes,Organic (Compost),0.0,No,Cassava,Low,Sufficient,No,Yes,8.0,Sandy Loam,6.04,2.73,64.0,13.2,189.2,20.9,91.4,69.8,7.4,11.4,116.1,27.45
2021,Season B,February,Mareba,Beans,1.88,1.57,157.0,Hillside,Improved (RWR 2245),No,None,0.0,No,Beans,Low,Adequate,Yes,No,23.9,Sandy Loam,7.06,3.04,61.2,13.1,246.8,22.7,73.3,69.4,8.0,11.4,101.7,12.91
2022,Season B,March,Rilima,Maize,2.66,2.37,237.0,Hillside,Local Variety,Partial,Organic (Compost),24.2,Yes,Beans,Medium,Sufficient,No,No,14.7,Sandy Soil,6.09,1.85,43.1,17.6,189.7,22.8,58.0,84.8,6.7,9.5,120.2,13.94
2022,Season B,June,Shyara,Beans,2.82,1.7,170.0,Hillside,Improved (RWR 2245),No,None,0.0,No,Cassava,Low,Sufficient,Yes,No,24.5,Sandy Loam,6.07,2.29,58.7,20.7,265.8,22.0,38.3,73.4,8.5,13.8,114.9,9.54
2021,Season A,September,Ngeruka,Beans,1.06,0.82,82.0,Hillside,Hybrid (MAC 44),Yes,Mixed (Organic + Inorganic),163.9,Yes,Beans,Low,Adequate,Yes,No,23.9,Loam,7.04,2.71,75.6,15.2,199.0,23.6,103.8,74.4,8.5,12.0,125.3,10.57
2022,Season B,April,Kamabuye,Maize,0.14,0.12,12.0,Valley,Improved (WH507),Yes,Inorganic (NPK),99.4,No,Beans,Medium,Adequate,Yes,No,10.7,Clay Soil,7.21,2.52,39.9,16.3,203.7,25.7,93.5,75.7,6.7,9.9,120.1,18.85
2024,Season B,February,Rweru,Rice,2.95,1.99,199.0,Valley,Local Variety,Yes,Inorganic (NPK),204.2,Partial,Beans,Low,Limited,Yes,No,12.9,Clay Soil,6.87,2.74,62.9,11.8,182.9,23.9,58.3,67.9,7.6,10.6,111.5,17.01
2024,Season B,April,Rilima,Beans,1.76,1.41,141.0,Hillside,Local Variety,Partial,Organic (Compost),14.5,Yes,Maize,Low,Adequate,Yes,No,21.5,Sandy Soil,6.05,1.84,45.2,14.6,207.5,22.2,116.1,74.3,6.3,11.3,91.0,7.27
2020,Season A,October,Shyara,Rice,2.73,2.03,203.0,Valley,Local Variety,No,None,0.0,No,Beans,High,Sufficient,Yes,No,12.9,Sandy Loam,6.04,2.23,58.6,20.5,275.5,24.4,123.5,92.0,6.2,10.2,103.7,21.45
2024,Season B,February,Kamabuye,Maize,1.08,0.75,75.0,Flat,Improved (WH507),No,None,0.0,Partial,Cassava,Low,Limited,Yes,No,11.7,Clay Soil,7.16,2.09,35.6,21.4,191.2,25.4,68.3,65.3,8.4,10.4,116.1,14.82
2021,Season A,December,Ntarama,Beans,2.93,2.48,248.0,Valley,Local Variety,Partial,Organic (Compost),20.5,No,Cassava,Medium,Adequate,Yes,Yes,12.1,Sandy Soil,7.07,2.99,55.3,12.0,238.1,21.6,58.2,76.8,7.1,9.2,113.2,7.41
2020,Season B,June,Mwogo,Maize,0.12,0.1,10.0,Flat,Improved (WH507),No,None,0.0,No,Maize,High,Adequate,Yes,No,5.2,Sandy Soil,5.84,2.1,67.6,19.4,147.6,25.2,37.6,71.4,8.4,13.7,100.9,9.54
2021,Season A,December,Rilima,Beans,2.33,2.16,216.0,Hillside,Hybrid (MAC 44),Yes,Inorganic (NPK),53.3,No,Beans,Medium,Adequate,Yes,No,10.1,Sandy Soil,6.21,2.07,37.2,17.2,214.4,22.2,100.6,77.6,7.4,11.0,120.1,11.54
2023,Season B,June,Ngeruka,Beans,2.58,2.26,226.0,Hillside,Local Variety,Partial,Organic (Compost),64.3,Partial,Beans,Low,Adequate,Yes,No,21.9,Loam,6.89,2.61,70.1,15.9,198.2,20.9,28.4,75.8,8.8,14.6,125.8,6.14
2021,Season B,February,Nyarugenge,Rice,0.27,0.17,17.0,Flat,Improved (IR64 / NERICA),Yes,Mixed (Organic + Inorganic),138.9,No,Cassava,Medium,Adequate,Yes,Yes,9.9,Clay Soil,6.15,2.29,44.4,26.3,203.9,22.5,95.6,77.9,7.6,10.6,105.1,33.72
2021,Season B,March,Ruhuha,Beans,0.73,0.66,66.0,Flat,Local Variety,Partial,Inorganic (NPK),12.5,No,Beans,Medium,Adequate,Yes,No,18.2,Sandy Loam,6.97,2.36,59.7,18.1,187.7,23.1,117.1,69.9,6.6,10.6,105.7,6.1
2024,Season B,April,Mwogo,Maize,1.78,1.49,149.0,Flat,Improved (WH507),No,None,0.0,Partial,Maize,Medium,Adequate,Yes,No,18.7,Sandy Soil,6.03,1.97,70.9,22.4,160.7,24.7,96.8,69.3,6.5,10.1,120.7,17.21
2024,Season A,December,Kamabuye,Maize,2.89,2.31,231.0,Valley,Improved (WH507),Partial,Organic (Compost),37.6,No,Maize,High,Adequate,No,No,24.2,Clay Soil,7.1,2.11,37.7,19.6,213.6,22.5,55.3,74.1,7.5,9.9,110.5,11.44
2024,Season B,June,Mayange,Rice,1.76,1.55,155.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),138.8,No,Beans,Medium,Sufficient,Yes,No,9.2,Sandy Loam,6.01,2.72,67.5,11.6,196.6,22.1,34.4,73.0,8.2,12.2,125.8,25.23
2022,Season A,December,Rweru,Beans,1.78,1.74,174.0,Hillside,Hybrid (MAC 44),Yes,Inorganic (NPK),211.2,No,Cassava,Low,Adequate,Yes,No,8.2,Clay Soil,6.99,2.62,68.0,11.6,191.7,23.8,61.9,71.3,7.9,11.3,125.3,9.76
2024,Season A,November,Juru,Maize,2.24,1.37,137.0,Hillside,Improved (WH507),Yes,Inorganic (NPK),147.8,Partial,Cassava,High,Limited,Yes,No,13.6,Sandy Loam,6.95,2.37,51.2,23.1,175.3,22.9,65.5,77.3,6.8,12.5,96.4,17.52
2021,Season B,June,Ngeruka,Maize,2.17,1.62,162.0,Flat,Improved (WH507),Partial,Inorganic (NPK),24.0,No,Fallow,Medium,Sufficient,No,No,9.4,Loam,6.93,2.87,79.6,19.8,195.8,24.7,45.1,65.3,9.0,9.6,131.0,12.03
2024,Season A,September,Mayange,Maize,1.09,0.83,83.0,Hillside,Improved (WH507),No,None,0.0,Yes,Maize,Medium,Limited,Yes,No,22.1,Sandy Loam,5.95,2.8,64.4,15.9,202.7,24.2,48.0,72.3,7.5,11.7,119.4,14.34
2020,Season A,September,Rilima,Beans,0.24,0.2,20.0,Flat,Hybrid (MAC 44),Yes,Inorganic (NPK),231.0,No,Fallow,Low,Limited,Yes,No,14.8,Sandy Soil,6.13,1.43,46.2,15.0,202.3,24.2,63.7,82.2,7.6,10.5,113.6,8.51
2023,Season A,November,Mayange,Beans,2.77,2.68,268.0,Flat,Improved (RWR 2245),No,None,0.0,No,Maize,Low,Adequate,Yes,No,18.7,Sandy Loam,5.99,2.91,65.8,14.7,207.4,23.2,121.7,75.1,7.6,12.0,109.1,12.54
2023,Season B,April,Nyamata,Beans,2.27,1.61,161.0,Flat,Improved (RWR 2245),No,None,0.0,No,Maize,Low,Sufficient,No,No,7.3,Clay Soil,7.16,3.38,75.3,26.2,254.1,23.2,123.3,69.2,7.3,9.9,101.9,10.95
2022,Season B,May,Rilima,Maize,2.62,2.04,204.0,Valley,Improved (WH507),No,None,0.0,No,Rice,Low,Sufficient,Yes,No,11.8,Sandy Soil,6.17,1.53,46.2,21.0,209.4,23.4,91.1,76.4,6.7,9.6,113.2,18.49
2020,Season B,March,Kamabuye,Maize,2.09,1.5,150.0,Flat,Improved (WH507),Yes,Inorganic (NPK),114.3,Yes,Beans,Medium,Adequate,Yes,Yes,9.4,Clay Soil,7.21,2.25,40.2,18.8,213.2,22.0,114.1,76.2,7.3,11.2,113.1,22.68
2022,Season B,April,Mwogo,Beans,1.63,0.99,99.0,Flat,Hybrid (MAC 44),No,None,0.0,Yes,Maize,High,Limited,No,No,10.6,Sandy Soil,6.14,2.04,66.6,18.4,153.2,22.6,132.7,77.8,7.4,9.2,101.5,7.17
2023,Season B,March,Nyamata,Rice,1.37,0.91,91.0,Flat,Hybrid (Komboka),Partial,Organic (Compost),26.0,Yes,Maize,Low,Sufficient,No,Yes,14.8,Clay Soil,7.02,3.16,75.5,25.7,251.8,21.1,127.6,76.7,7.2,11.3,117.1,27.25
2023,Season B,June,Musenyi,Beans,1.58,1.19,119.0,Flat,Local Variety,No,None,0.0,No,Maize,Medium,Sufficient,Yes,No,11.6,Loam,6.94,2.32,39.0,10.6,260.0,23.3,32.5,66.0,8.6,11.9,126.3,4.62
2024,Season A,January,Nyamata,Maize,1.98,1.21,121.0,Flat,Improved (WH507),Partial,Inorganic (NPK),15.7,Yes,Cassava,Low,Adequate,Yes,Yes,19.3,Clay Soil,7.15,3.05,74.5,26.7,263.3,22.2,68.0,63.8,7.8,10.5,98.0,19.68
2022,Season A,December,Kamabuye,Rice,0.31,0.3,30.0,Valley,Improved (IR64 / NERICA),No,None,0.0,No,Cassava,Low,Sufficient,No,No,23.7,Clay Soil,6.97,2.51,43.7,20.9,214.2,23.6,59.7,78.1,7.3,10.8,113.1,26.72
2022,Season B,April,Nyamata,Maize,0.96,0.93,93.0,Flat,Improved (WH507),Yes,Mixed (Organic + Inorganic),166.9,Yes,Cassava,Medium,Adequate,No,Yes,23.2,Clay Soil,7.05,3.33,77.3,24.7,254.6,22.7,146.2,84.8,7.7,10.6,119.5,22.92
2024,Season A,September,Juru,Rice,1.42,1.13,113.0,Valley,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,No,Beans,Low,Sufficient,Yes,Yes,12.6,Sandy Loam,6.95,2.93,51.8,23.0,165.4,23.1,83.8,79.8,8.1,11.2,118.7,34.23
2020,Season A,November,Juru,Beans,0.86,0.54,54.0,Flat,Hybrid (MAC 44),No,None,0.0,Partial,Beans,Low,Adequate,Yes,No,21.7,Sandy Loam,6.99,2.91,46.1,26.4,169.1,23.4,82.1,77.5,7.2,10.0,93.4,9.44
2020,Season A,October,Mareba,Beans,2.87,2.69,269.0,Valley,Improved (RWR 2245),No,None,0.0,Yes,Maize,Medium,Adequate,No,No,6.3,Sandy Loam,7.06,3.29,65.4,8.9,235.6,25.7,83.9,76.7,7.3,11.3,94.5,12.72
2024,Season A,January,Ngeruka,Rice,2.79,2.04,204.0,Hillside,Hybrid (Komboka),No,None,0.0,No,Maize,Low,Sufficient,Yes,No,17.1,Loam,7.05,2.68,72.1,21.0,200.8,21.4,57.6,66.2,7.9,11.3,123.4,21.41
2021,Season A,December,Shyara,Rice,2.38,1.79,179.0,Hillside,Improved (IR64 / NERICA),Yes,Organic (Compost),0.0,No,Beans,Low,Adequate,No,Yes,20.6,Sandy Loam,6.36,2.52,55.5,22.4,280.8,22.6,110.6,87.6,7.3,12.3,107.4,38.42
2021,Season B,March,Rilima,Maize,0.13,0.11,11.0,Flat,Local Variety,Partial,Inorganic (NPK),43.0,Partial,Beans,Low,Adequate,Yes,Yes,15.7,Sandy Soil,6.12,1.9,50.8,17.0,205.7,21.9,67.2,73.3,6.7,10.0,107.1,14.12
2023,Season B,June,Rilima,Beans,2.13,2.01,201.0,Flat,Local Variety,Yes,Inorganic (NPK),166.0,No,Fallow,Medium,Sufficient,Yes,No,11.4,Sandy Soil,6.09,1.8,42.6,17.9,219.9,23.5,41.8,79.7,8.5,12.5,118.5,5.55
2021,Season B,May,Juru,Maize,0.86,0.62,62.0,Valley,Local Variety,No,None,0.0,No,Beans,Low,Adequate,Yes,No,24.2,Sandy Loam,6.78,2.4,42.5,22.0,175.0,23.7,103.1,74.0,7.1,9.7,112.2,13.9
2020,Season B,April,Mayange,Beans,2.45,1.53,153.0,Valley,Hybrid (MAC 44),No,None,0.0,Yes,Fallow,High,Adequate,No,No,12.9,Sandy Loam,6.07,2.76,66.7,11.9,198.6,24.7,78.8,86.4,6.6,9.7,95.7,8.63
2021,Season B,May,Ntarama,Beans,0.68,0.57,57.0,Flat,Hybrid (MAC 44),Partial,Organic (Compost),32.3,Yes,Maize,Low,Sufficient,No,Yes,13.8,Sandy Soil,7.05,2.84,59.2,10.0,244.0,25.7,67.7,72.7,6.9,10.6,92.2,10.0
2020,Season A,October,Rilima,Rice,2.77,2.12,212.0,Hillside,Hybrid (Komboka),Yes,Organic (Compost),0.0,Yes,Beans,Low,Adequate,No,No,14.1,Sandy Soil,6.15,1.59,53.1,16.6,218.8,24.9,74.0,81.0,6.8,10.4,93.2,30.31
2024,Season B,February,Kamabuye,Rice,0.72,0.58,58.0,Valley,Improved (IR64 / NERICA),Yes,Inorganic (NPK),42.4,Yes,Rice,Medium,Adequate,Yes,No,20.4,Clay Soil,7.07,2.53,42.8,18.9,205.8,22.2,90.5,68.6,7.9,9.7,99.3,27.26
2021,Season A,January,Ntarama,Rice,0.38,0.26,26.0,Flat,Improved (IR64 / NERICA),No,None,0.0,Partial,Rice,Low,Sufficient,No,No,6.0,Sandy Soil,7.0,2.89,61.9,13.1,228.6,22.7,55.1,80.9,7.6,10.8,119.6,26.99
2023,Season B,May,Mayange,Maize,1.43,1.34,134.0,Valley,Improved (WH507),No,None,0.0,Yes,Beans,High,Sufficient,Yes,No,13.7,Sandy Loam,5.99,2.92,64.0,11.6,207.2,22.2,58.3,81.2,6.9,9.8,109.9,12.94
2024,Season A,December,Musenyi,Maize,1.89,1.29,129.0,Flat,Hybrid (H614D),Yes,Organic (Compost),0.0,No,Maize,High,Adequate,No,No,19.6,Loam,7.1,2.54,38.2,14.8,236.7,21.4,84.3,80.8,7.9,11.2,99.0,22.72
2020,Season B,February,Shyara,Beans,2.5,2.39,239.0,Valley,Local Variety,Yes,Organic (Compost),0.0,No,Maize,Low,Sufficient,No,No,5.3,Sandy Loam,6.2,2.56,53.6,22.2,253.9,23.6,43.9,77.7,7.8,10.3,109.0,5.83
2023,Season A,December,Juru,Maize,2.65,2.21,221.0,Hillside,Local Variety,No,None,0.0,Partial,Maize,High,Adequate,Yes,Yes,23.3,Sandy Loam,6.96,2.68,50.4,24.7,199.5,22.9,79.1,70.5,8.3,10.5,94.8,11.11
2020,Season B,February,Ntarama,Maize,2.01,1.94,194.0,Valley,Local Variety,No,None,0.0,No,Beans,Medium,Sufficient,Yes,No,7.0,Sandy Soil,7.14,2.67,62.1,10.2,255.7,22.8,89.7,78.4,7.1,10.7,94.9,12.29
2024,Season B,June,Ngeruka,Beans,2.68,2.17,217.0,Hillside,Improved (RWR 2245),Partial,Inorganic (NPK),29.5,No,Maize,Medium,Sufficient,No,No,10.9,Loam,6.86,2.73,74.0,22.1,188.8,22.9,39.0,67.9,7.9,11.4,110.9,8.68
2021,Season A,October,Ruhuha,Maize,2.32,1.85,185.0,Flat,Hybrid (H614D),Partial,Organic (Compost),29.7,Yes,Maize,Low,Sufficient,No,Yes,5.7,Sandy Loam,7.11,2.28,64.8,17.5,177.5,23.5,120.6,77.5,6.5,9.4,100.8,25.46
2023,Season B,May,Ngeruka,Beans,1.35,1.19,119.0,Flat,Hybrid (MAC 44),No,None,0.0,No,Maize,Low,Adequate,No,No,21.4,Loam,7.0,2.55,72.0,18.2,199.0,23.3,69.5,83.4,6.7,11.6,106.8,8.81
